DocNum,DocDate,Part Number,Dscription,Quantity,U_MIS_LotNo,WhsCode
126299794,9/10/2026,AE168021-0030-B03,SHAFT ARMATURE 1W-B03,699,26907B24M10,WHWIPMF2
126299793,9/10/2026,AE168021-0030-B03,SHAFT ARMATURE 1W-B03,355,26826B34M13,WHWIPMF2
126299792,9/10/2026,AE168021-0030-B03,SHAFT ARMATURE 1W-B03,706,26907B08M12,WHWIPMF2
126299791,9/10/2026,AE168021-0030-B03,SHAFT ARMATURE 1W-B03,725,26908B08M11,WHWIPMF2
126299790,9/10/2026,1671364-00-B01,SHAFT CAM-B01,505,26904D42M10,WHWIPMF2
126299789,9/10/2026,1726029-00-B13,"SHAFT, GUIDE, CR-B13",258,26828A01M11,WHWIPMF2
126299788,9/10/2026,2311-07290-A01,SHAFT-A01,450,26909A02300,WHWIPMF1
126299787,9/10/2026,5D9-E8531-00-00-M0-A01,BAR SHIFT FORK GUIDE 1-A01,250,26909A04800,WHWIPMF1
126299786,9/10/2026,5D9-E8531-00-00-M0-A01,BAR SHIFT FORK GUIDE 1-A01,250,26909A04700,WHWIPMF1
126299785,9/10/2026,5D9-E8531-00-00-M0-A01,BAR SHIFT FORK GUIDE 1-A01,250,26909A04600,WHWIPMF1
126299784,9/10/2026,5D9-E8531-00-00-M0-A01,BAR SHIFT FORK GUIDE 1-A01,250,26909A04500,WHWIPMF1
126299783,9/10/2026,1682463-01-B01,SHAFT SET GUIDE-B01,480,26908A08M11,WHWIPMF2
126299782,9/10/2026,1682463-01-B01,SHAFT SET GUIDE-B01,460,26909A08M10,WHWIPMF2
126299781,9/10/2026,1682463-01-B01,SHAFT SET GUIDE-B01,445,26908A08M10,WHWIPMF2
126299780,9/10/2026,AE168021-0090-B04,SHAFT ARMATURE 1W-B04,513,26904B28M13,WHWIPMF2
126299779,9/10/2026,AE168021-0090-B04,SHAFT ARMATURE 1W-B04,500,26908A48M13,WHWIPMF2
126299778,9/10/2026,AE168021-0090-B04,SHAFT ARMATURE 1W-B04,505,26907B12M13,WHWIPMF2
126299777,9/10/2026,AE168021-0090-B04,SHAFT ARMATURE 1W-B04,148,26908A14M11,WHWIPMF2
126299776,9/10/2026,1678382-00-B03,"SHAFT, RETARD, B-B03",1290,26908B58M11,WHWIPMF2
